Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary
10/02/1971,11:10,"Near Aarsele, West Vlaanderen, Belgium",British European Airways,706,London - Salzburg,Vickers Vanguard 951,G-APEC,706,63,63,0,"While en route a distress message was received from the aircraft after which it crashed and burst into flames.  The elevators and tailplane were destroyed when the rear pressure bulkhead ruptured at 19,000 feet. The airplane rapidly nosed down and crashed. The bulkhead was weakened by corrosion from a suspected leak in the lavatory."
10/13/1971,,"Moscow, Russia",Aeroflot,,,Tupolev TU-104B,CCCP-42490,021603,20,20,0,Crashed on takeoff
10/16/1971,09:45,"Colorado City, Arizona",SceniAir Lines,,Las Vegas - Grand Canyon,Cessna 402,N3250Q,,10,10,0,The sightseeing plane crashed in rain/snow.  Continued VFR flight into adverse weather conditions. Pilot transmitted he was turning around do to weather conditions.
10/16/1971,13:17,"Hot Springs, Virginia",Alpena Flying Service - Air Taxi,,"Detroit, MI - Hot Springs, VA",Swearingen SA26AT,N20DE,,6,6,0,The pilot descended below minima on a third attempt at landing with no glideslope approach and hit the ground 150 feet short and right of the runway. Improper IFR operation.
10/17/1971,,"San Vicente del Caguan, Colombia",Aerolineas TAO,,,Douglas C-47A,HK- 595,19348,22,20,0,"The aircraft crashed and burned short of the runway. A girl, 6, and a boy 3, were the only survivors."
10/21/1971,11:20,"Peoria, Illinois",Chicago Southern Airlines,,"Chicago, IL - Peoria, IL",Beech E18S,N51CS,BA-211,16,16,0,Collided with wires/poles while attempting to land. Improper IFR operation. Descended below MDA.
10/23/1971,,"Near Qui Nhon, South Vietnam",Military - Vietnamese Air Force,,,Douglas C-47,,,31,31,0,Crashed after flying during a typhoon.
10/24/1971,22:15,"Bath, Pennsylvania",Monmouth Airways,,"Jamaica, NY - Allentown, PA",Beechcraft B99,N986MA,U-44,8,4,0,Collided with trees while attempting to land. Improper IFR operation. Descended below MDA. Pilot fatigue.
11/09/1971,05:40,"Off Livorno, Italy",Military - Royal Air Force,,San Giusto - Sardinia,Lockheed C-130K Hercules,XV216,4243,52,52,0,"The plane, carrying paratroopers, crashed into the Ligurian Sea about 20 miles west of Pisa shortly after taking off from San Giusto Airport. In-flight structural failure. Cause undetermined."
11/10/1971,,"Off Padang, Philippines",Merpati Nusantara Airlines,,Jakarta - Padang,Vickers Viscount 828,PK-MVS,448,69,69,0,The plane crashed into the sea while on approach to Pandang.
11/12/1971,,"Vinnitsa, Russia",Aeroflot,,,Antonov AN-24,CCCP-46809,67302306,47,47,0,The plane crashed during a go-around.
11/21/1971,,"Near Penghu Island, Taiwan",China Airlines (Taiwan),,Taipei - Hong Kong,Sud Aviation SE-210 Caravelle III,B-1852,122,25,25,0,The plane crashed into the sea while on a flight from Taipei to Hong Kong.  Detonation of an explosive device.
11/28/1971,13:30,"Near Hue, South Vietnam",Military - U.S. Army,,Da Nang - Camp Eagle,Boeing Vertol CH-47C,68-15866,,34,34,0,Crashed into a mountain after attempting to fly through a lowland area due to deteriorating weather conditions.
12/01/1971,,"Saratov, Russia",Aeroflot,,,Antonov AN-24,CCCP-46788,57301801,57,57,0,Crashed short of runway during approach.
12/04/1971,13:46,"Raleigh, North Carolina",Eastern Air Lines,,"Miami, FL - Raleigh, NC",Douglas DC-9-31 /Cessna 206,N8943E / N2110F,47166/265 / ,29,2,0,Midair collision.  The DC-9 descended onto the Cessna. Two killed aboard the Cessna. The DC-9 landed with no one aboard injured. Inadequacy of ATC facilities and services in the terminal area.
02/22/1991,,"Cazombo, Angola",Fuerza Area Angolaise,,,Antonov AN-26,,,47,47,0,Shot down by surface-to-air missile launced by UNITA rebels.
12/21/1971,,"Sofia, Bulgaria",Balkan Bulgarian Airlines,,Sofia IAP - Algiers,Ilyushin IL-18B,LZ-BES,185008104,73,28,0,Crashed in adverse weather conditions shortly after taking off.
12/24/1971,12:36,"Near Puerto Inca, Huanuco, Peru",Lineas Aereas Nacionales SA (Peru),508,Lima - Pucallpa,Lockheed 188A Electra,OB-R-941,1086,92,91,0,"The aircraft was struck by lightning after it entered an area of thunderstorms and heavy turbulence. The lightning caused a fire which led to the separation of the right wing and part of the left wing. The aircraft crashed in mountainous terrain in the jungle. One German passenger, a female teenager, survived and was found after trekking through the jungle for 9 days. Juliane Koepcke had a broken collarbone and was unconscious for an unknown amount of time but had survived the crash still strapped in her seat. When she came to, she set out in vain to find her mother. Maria Koepcke, her mother, a leading Peruvian ornithologist, was dead. Rescue crews searched for the aircraft without success. Koepcke would have to save herself.  Koepcke found a stream and began nine days of wading through knee-high water and fighting off swarms of insects and leeches. On the ninth day, she found a canoe and shelter. Then she waited. Hours later, local lumbermen returned and found her. They tried to get her to eat but she was quite sick and refused. Insects had buried eggs in her skin and they were beginning to hatch. One of the men poured gasoline on her and, as she told the London Daily Mail, 'I counted 35 worms that came out of my arms alone.' The men offered what assistance they could provide but it was too late in the day to start the journey back to civilization; she slept one more night in the jungle before the men took her on the final seven hour journey via canoe down the river to a lumber station where she was airlifted to a hospital."
01/06/1972,,"Near Chetumal, Mexico",SAESA,,Chetumel - Merida,Hawker Siddeley HS-748-230 Srs. 2A,XA-SEV,1598,23,23,0,The aircraft crashed following a fire onboard while en route.
01/07/1972,22:00,"Sierra de Atalayasa, Spain",Iberia Airlines,602,Valencia - Ibiza,Sud-Aviation Caravelle VI-R,EC-ATV,163,104,104,0,The aircraft crashed into hill while attempting to land. Failure to maintain the minimum flight altitude during the final stages of the visual approach.
01/18/1972,01:04,"Chambers, Nebraska",Kime Flying Service - Air Taxi,,"Omaha, NE - Hot Springs, SD",Piper PA-23,N4897P,,3,3,0,"The pilot feathered the right engine for undetermined reasons, failed to maintain safe altitude and crashed into a telephone pole and wires."
01/21/1972,,"Near Adana, Turkey",Turkish Airlines (THY),,Damascus - Ankara,MDonnell Douglas DC-9-32,TC-JAC,47213/358,8,1,0,"After diverting to Adana because of pressurization problems, the aircraft hit the ground downwind on the second approach and caught fire."
01/21/1972,,"Near Funza, Colombia",Lineas Aéreas la Urraca,,Bogota - San Andres,Vickers Viscount 837,HK-1347,442,20,20,0,Crashed shortly after leaving Bogota after an explosion aboard.
01/21/1972,10:30,"Near Betania, Colombia",SATENA,,Medellin - Buenaventura,Douglas C-47,FAC-661,,39,39,0,The aircraft struck a mountain in rain and thunderstorms operating as a non-scheduled passenger airliner run by the military.
01/26/1972,16:10,"Near Hermsdorf, Czechoslovakia",JAT Yugoslav Airlines,JU 367,Stockholm - Belgrade,McDonnell Douglas DC-9-32,YU-AHT,47482/592,28,27,0,"The plane crashed after the detonation of a bomb in the forward cargo hold. A flight attendant,  22 year old Vesna Vulovic, fell 33,330 feet in the tail section and although she broke both legs and was temporarily paralyzed from the waist down, she survived. She was in a coma for 27 days and it took 16 months for her to recover. The bomb was believed to be placed on the plane by a Croatian extremist group. On January 27, 1997, 25 years after the crash, Vesna Vulovireturned to the crash-site and was reunited with the firemen who pulled her from the wreckage and the medical team who looked after her in the hospital."
02/01/1972,,"Near Tegal, Indonesia",PENAS,,,Douglas DC-6,XW-PEH,43126/132,9,6,0,Due to a compass error the aircraft became lost and crashed during a forced landing due to fuel starvation.
02/04/1972,,"Pha Khao, Laos",Air America,,Ban Xon - Pha Khao,de Havilland Canada C-7A Caribou,393,51,38,1,0,Crashed while attempting to land. Overloaded
02/04/1972,19:00,"BattleMountain, Nevada",Clarkes Thunder - Air Taxi,,"Gallup, NM - Battle Mountain, NV",Beechcraft S35,N8933U,,2,2,0,Pilot flying too high and suffered hypoxia. Pilot had emphysema and advanced arteriosclerosis. No oxygen aboard the aircraft.
02/05/1972,,"Near Valledupar, Colombia",TAC Colombia,772,Bogota - Valledupar,Fairchild F-27,HK-1139,0075,19,19,0,Disappeared while en route. Wreckage found 3 days later.
02/11/1972,13:20,"Near Vientiane, Laos",Royal Air Lao,,Savannakhet - Vientiane,Douglas DC-4,XW-TDE,43126,23,23,0,Shot down while en route. Aircraft not found.
02/16/1972,02:55,"Jackson, Mississippi",Hankins Airways - Air Taxi,,"Chicago, IL - Detroit, MI",Beechcraft D 18S,N80398,,2,2,0,The aircraft failed to maintain flying speed after a engine failure for undetermined reasons. Ice seen on aircraft before and after the accident.
02/19/1972,,"Little Rock, Arkansas",Military - U.S. Air Force,,,Lockheed C-130E Hercules,62-1813,3775,7,5,0,Midair collision with a T-37 trainer while on approach to Little Rock. Both pilots on the trainer ejected safely.
